Cell Type	TF/DNase/HistoneMark	Treatment	File accession	AUC	AUPRC	AUPRC Baseline
8988T	DNase	None	wgEncodeAwgDnaseDuke8988tUniPk.narrowPeak	0,910351436460982	0,401035205196087	0,0395891205738598
AoSMC	DNase	None	wgEncodeAwgDnaseDukeAosmcUniPk.narrowPeak	0,924485648607775	0,439493669031842	0,0410308027708429
Chorion	DNase	None	wgEncodeAwgDnaseDukeChorionUniPk.narrowPeak	0,896293207491217	0,320603023973594	0,0313785646471395
CLL	DNase	None	wgEncodeAwgDnaseDukeCllUniPk.narrowPeak	0,928261658587344	0,358979858007435	0,0211197651112908
Fibrobl	DNase	None	wgEncodeAwgDnaseDukeFibroblUniPk.narrowPeak	0,837919631980692	0,340633129269586	0,0581375927423608
FibroP	DNase	None	wgEncodeAwgDnaseDukeFibropUniPk.narrowPeak	0,883256472949951	0,420688450661027	0,0502742712472309
Gliobla	DNase	None	wgEncodeAwgDnaseDukeGlioblaUniPk.narrowPeak	0,912435909239431	0,442912346283306	0,0428988361053483
GM12891	DNase	None	wgEncodeAwgDnaseDukeGm12891UniPk.narrowPeak	0,929741167900737	0,420448099845271	0,0309126551566511
GM12892	DNase	None	wgEncodeAwgDnaseDukeGm12892UniPk.narrowPeak	0,92430700349669	0,393314730039726	0,0303236752347129
GM18507	DNase	None	wgEncodeAwgDnaseDukeGm18507UniPk.narrowPeak	0,927615841390193	0,4166443709807	0,027378775625022
GM19238	DNase	None	wgEncodeAwgDnaseDukeGm19238UniPk.narrowPeak	0,918760062054635	0,410020389109679	0,0332905517071627
GM19239	DNase	None	wgEncodeAwgDnaseDukeGm19239UniPk.narrowPeak	0,926360133628479	0,409811899418029	0,0292599950771827
GM19240	DNase	None	wgEncodeAwgDnaseDukeGm19240UniPk.narrowPeak	0,899671259551269	0,387250006106564	0,0362442420619572
H9ES	DNase	None	wgEncodeAwgDnaseDukeH9esUniPk.narrowPeak	0,939249589117945	0,491330925336817	0,0368464081015507
HeLa-S3	DNase	IFNa4h	wgEncodeAwgDnaseDukeHelas3ifna4hUniPk.narrowPeak	0,90609104578252	0,395355370098534	0,0311631913921024
Hepatocytes	DNase	None	wgEncodeAwgDnaseDukeHepatocytesUniPk.narrowPeak	0,881975064134003	0,285410849204778	0,0301654418228489
HPDE6-E6E7	DNase	None	wgEncodeAwgDnaseDukeHpde6e6e7UniPk.narrowPeak	0,928321023680987	0,42484312619031	0,0353124230809803
HSMM_emb	DNase	None	wgEncodeAwgDnaseDukeHsmmembUniPk.narrowPeak	0,932890160696507	0,444137971755461	0,0319719399416295
HTR8svn	DNase	None	wgEncodeAwgDnaseDukeHtr8svnUniPk.narrowPeak	0,924769549415493	0,417224533566242	0,0302753261366433
Huh-7.5	DNase	None	wgEncodeAwgDnaseDukeHuh75UniPk.narrowPeak	0,901924574999135	0,397258391439532	0,0389210239459897
Huh-7	DNase	None	wgEncodeAwgDnaseDukeHuh7UniPk.narrowPeak	0,917159302003042	0,416617944496515	0,035813495551883
iPS	DNase	None	wgEncodeAwgDnaseDukeIpsUniPk.narrowPeak	0,944668101903414	0,507320819117351	0,0394177010443405
Ishikawa	DNase	Estradiol_100nM_1hr	wgEncodeAwgDnaseDukeIshikawaestradiolUniPk.narrowPeak	0,906442428974056	0,41682569013574	0,0336553676289602
Ishikawa	DNase	4OHTAM_20nM_72hr	wgEncodeAwgDnaseDukeIshikawatamoxifenUniPk.narrowPeak	0,908234783832938	0,422783233637131	0,0346267449629031
LNCaP	DNase	androgen	wgEncodeAwgDnaseDukeLncapandrogenUniPk.narrowPeak	0,917926355251322	0,419416050295563	0,0335718555504765
MCF-7	DNase	Hypoxia_LacAcid	wgEncodeAwgDnaseDukeMcf7hypoxiaUniPk.narrowPeak	0,902486892700279	0,400490534984588	0,0359981011990576
Medullo	DNase	None	wgEncodeAwgDnaseDukeMedulloUniPk.narrowPeak	0,864042241576742	0,315678573640142	0,0352025387671859
Melano	DNase	None	wgEncodeAwgDnaseDukeMelanoUniPk.narrowPeak	0,847363065887507	0,353515943717756	0,048375470304863
Myometr	DNase	None	wgEncodeAwgDnaseDukeMyometrUniPk.narrowPeak	0,916022356319488	0,418530243454172	0,039527585358135
