Data Source	Cell Type	TF/DNase/Histone	Treatment	AUC
ENCODE	Dnd41	CTCF	None	0.978703676
ENCODE	Dnd41	EZH2	None	0.950762481
ENCODE	GM12878	CTCF	None	0.978717413
ENCODE	GM12878	EZH2	None	0.917713764
ENCODE	H1-hESC	CHD1	None	0.942915391
ENCODE	H1-hESC	CTCF	None	0.978086084
ENCODE	H1-hESC	EZH2	None	0.98150083
ENCODE	H1-hESC	JARID1A	None	0.9874706
ENCODE	H1-hESC	RBBP5	None	0.964758213
ENCODE	HeLa-S3	CTCF	None	0.966119543
ENCODE	HeLa-S3	EZH2	None	0.820687993
ENCODE	HeLa-S3	Pol2(b)	None	0.9061063
ENCODE	HepG2	CTCF	None	0.984068752
ENCODE	HepG2	EZH2	None	0.952970391
ENCODE	HMEC	CTCF	None	0.984899162
ENCODE	HMEC	EZH2	None	0.965694042
ENCODE	HSMM	CTCF	None	0.976129365
ENCODE	HSMM	EZH2	None	0.95700476
ENCODE	HSMMtube	CTCF	None	0.973024656
ENCODE	HSMMtube	EZH2	None	0.985868877
ENCODE	HUVEC	CTCF	None	0.98318589
ENCODE	HUVEC	EZH2	None	0.985117718
ENCODE	HUVEC	Pol2(b)	None	0.924300948
ENCODE	K562	CHD1	None	0.937315981
ENCODE	K562	CTCF	None	0.968725178
ENCODE	K562	EZH2	None	0.860776181
ENCODE	K562	HDAC1	None	0.956225755
ENCODE	K562	HDAC2	None	0.93627905
ENCODE	K562	HDAC6	None	0.946436235
ENCODE	K562	p300	None	0.862657048
ENCODE	K562	PHF8	None	0.981399357
ENCODE	K562	PLU1	None	0.959271794
ENCODE	K562	Pol2(b)	None	0.939257383
ENCODE	K562	RBBP5	None	0.951559005
ENCODE	K562	SAP30	None	0.976267242
ENCODE	NH-A	CTCF	None	0.979950514
ENCODE	NH-A	EZH2	None	0.987212001
ENCODE	NHDF-Ad	CTCF	None	0.977131086
ENCODE	NHDF-Ad	EZH2	None	0.986668206
ENCODE	NHEK	CTCF	None	0.973301922
ENCODE	NHEK	EZH2	None	0.97906139
ENCODE	NHEK	Pol2(b)	None	0.856867062
ENCODE	NHLF	CTCF	None	0.981340146
ENCODE	NHLF	EZH2	None	0.974447937
ENCODE	Osteobl	CTCF	None	0.965938398
ENCODE	A549	ATF3	EtOH_0.02pct	0.908252992
ENCODE	A549	BCL3	EtOH_0.02pct	0.871336182
ENCODE	A549	CREB1	DEX_100nM	0.967705925
ENCODE	A549	CTCF	DEX_100nM	0.988090743
ENCODE	A549	CTCF	EtOH_0.02pct	0.987502558
ENCODE	A549	ELF1	EtOH_0.02pct	0.940073498
ENCODE	A549	ETS1	EtOH_0.02pct	0.941819605
ENCODE	A549	FOSL2	EtOH_0.02pct	0.933144601
ENCODE	A549	FOXA1	DEX_100nM	0.909198567
ENCODE	A549	GABP	EtOH_0.02pct	0.943864901
ENCODE	A549	GR	DEX_500pM	0.931826411
ENCODE	A549	GR	DEX_50nM	0.86765741
ENCODE	A549	GR	DEX_5nM	0.891799687
ENCODE	A549	GR	DEX_100nM	0.893536306
ENCODE	A549	NRSF	EtOH_0.02pct	0.909939416
ENCODE	A549	p300	EtOH_0.02pct	0.884797809
ENCODE	A549	Pol2	DEX_100nM	0.961619838
ENCODE	A549	Pol2	EtOH_0.02pct	0.962488673
ENCODE	A549	Sin3Ak-20	EtOH_0.02pct	0.888604839
ENCODE	A549	SIX5	EtOH_0.02pct	0.939972844
ENCODE	A549	TAF1	EtOH_0.02pct	0.938984926
ENCODE	A549	TCF12	EtOH_0.02pct	0.886369727
ENCODE	A549	USF1	DEX_100nM	0.943603878
ENCODE	A549	USF1	EtOH_0.02pct	0.967818996
ENCODE	A549	USF1	EtOH_0.02pct	0.929605088
ENCODE	A549	YY1	EtOH_0.02pct	0.943329948
ENCODE	A549	ZBTB33	EtOH_0.02pct	0.918901829
ENCODE	ECC-1	CTCF	DMSO_0.02pct	0.994574072
ENCODE	ECC-1	ERalpha	BPA_100nM	0.882230386
ENCODE	ECC-1	ERalpha	Estradiol_10nM	0.860462315
ENCODE	ECC-1	ERalpha	Genistein_100nM	0.865374233
ENCODE	ECC-1	FOXA1	DMSO_0.02pct	0.917429272
ENCODE	ECC-1	GR	DEX_100nM	0.876714846
ENCODE	ECC-1	Pol2	DMSO_0.02pct	0.971724707
ENCODE	GM12878	ATF2	None	0.908590526
ENCODE	GM12878	ATF3	None	0.970807685
ENCODE	GM12878	BATF	None	0.931464593
ENCODE	GM12878	BCL11A	None	0.941325473
ENCODE	GM12878	BCL3	None	0.906070189
ENCODE	GM12878	BCLAF1	None	0.960541193
ENCODE	GM12878	CEBPB	None	0.918965073
ENCODE	GM12878	EBF1	None	0.906784536
ENCODE	GM12878	Egr-1	None	0.967221275
ENCODE	GM12878	ELF1	None	0.973143311
